SN,Gtin,Serial no,Status,Sending Status
2,678768,RKK3GZZMS,allow,1300
3,678768,ZS9EWGK0F,allow,1300
4,678768,K97ZMMANY,allow,1300
5,678768,KDYF3609Y,allow,1300
6,678768,A3149A1N6,allow,1300
7,678768,MTSYHE4RP,allow,1300
8,678768,84Y8C3ZBC,allow,1300
9,678768,W6903Y1V9,allow,1300
10,678768,R8A6Y3XWK,allow,1300
11,678768,V7KGTTMB5,allow,1300
12,678768,CW6KYXY0G,allow,1300
13,678768,YV085FFG5,allow,1300
14,678768,Z01VD77CV,allow,1300
15,678768,BBRYE9MHB,allow,1300
16,678768,RH5EEW2GA,allow,1300
17,678768,KG12TCZZC,allow,1300
18,678768,4P0HD7V24,allow,1300
19,678768,ZXG51DXYP,allow,1300
20,678768,EV4BDGXMA,allow,1300
21,678768,6V9YT9MRX,allow,1300
22,678768,ZKCDG10P2,allow,1300
23,678768,DRGK2BNH2,allow,1300
24,678768,95AA67C0M,allow,1300
25,678768,K706GMHGV,allow,1300
26,678768,CD73VSWY2,allow,1300
27,678768,NNC8Z8RD7,allow,1300
28,678768,201HTRGM0,allow,1300
29,678768,K7A60EM96,allow,1300
30,678768,1ZR0X6W5P,allow,1300
31,678768,2N1DM6E6S,allow,1300
32,678768,SGF9X5MXC,allow,1300
33,678768,9B3RY6T88,allow,1300
34,678768,W7PGXWAWA,allow,1300
35,678768,YG51ZR6XY,allow,1300
36,678768,1DMW692NY,allow,1300
37,678768,APYGPDA8K,allow,1300
38,678768,1NB5ZBTXH,allow,1300
39,678768,NRYKHHDXP,allow,1300
40,678768,7Y1AAKCME,allow,1300
41,678768,XT64881DR,allow,1300
42,678768,9CTHTK03M,allow,1300
43,678768,4F0ZSTR9E,allow,1300
44,678768,90ARG0YHX,allow,1300
45,678768,STZTCA8VX,allow,1300
46,678768,GEN1MKGHF,allow,1300
47,678768,ZD5DWD232,allow,1300
48,678768,XTSSEPD3K,allow,1300
49,678768,G027X23RS,allow,1300
50,678768,TESFCK458,allow,1300
51,678768,CMK9SYN12,allow,1300
52,678768,BXP8P40EE,allow,1300
53,678768,RN47E06BE,allow,1300
54,678768,R3SPFXH69,allow,1300
55,678768,26FH4D3W8,allow,1300
56,678768,25PZP6W5H,allow,1300
57,678768,M4TMZ8WPM,allow,1300
58,678768,2CKNX3FRG,allow,1300
59,678768,ARF20GM09,allow,1300
60,678768,HS7454M17,allow,1300
61,678768,B4KE3DY8N,allow,1300
62,678768,ERZRXB4YE,allow,1300
63,678768,FGF2A60KE,allow,1300
64,678768,ECDTHX53S,allow,1300
65,678768,D09MRRZGG,allow,1300
66,678768,64N8RMZ16,allow,1300
67,678768,3B9Z9S747,allow,1300
68,678768,5PA79W7AY,allow,1300
69,678768,76DB8DVTV,allow,1300
70,678768,HMZZBW7SD,allow,1300
71,678768,S9WC0H6XS,allow,1300
72,678768,KMMBKH3PM,allow,1300
73,678768,TXBNGN940,allow,1300
74,678768,DMA004F61,allow,1300
75,678768,TFR20NP3H,allow,1300
76,678768,VPYFWC5HE,allow,1300
77,678768,YYVDAXNNK,allow,1300
78,678768,8N99RD340,allow,1300
79,678768,DRCN9Y5V4,allow,1300
80,678768,4C7RTXF4C,allow,1300
81,678768,3N2D15N8R,allow,1300
82,678768,3YV55C5S9,allow,1300
83,678768,GNRX07EN2,allow,1300
84,678768,MG4BY0D3W,allow,1300
85,678768,4427W5PWD,allow,1300
86,678768,TWHM89D9X,allow,1300
87,678768,104YASZV0,allow,1300
88,678768,TE3NMNN11,allow,1300
89,678768,B57Y4GFPF,allow,1300
90,678768,GR7SNKFDN,allow,1300
91,678768,3MDVSP1N6,allow,1300
92,678768,NW7CN5Y1A,allow,1300
93,678768,41D1YT1Y1,allow,1300
94,678768,19D56EC38,allow,1300
95,678768,YP310VYEG,allow,1300
96,678768,DF4V85V2D,allow,1300
97,678768,5FH3X9E24,allow,1300
98,678768,DMNAGMX98,allow,1300
99,678768,HK4KM2MT6,allow,1300
100,678768,5P21YW8KB,allow,1300
101,678768,29SRVVY79,allow,1300
102,678768,4DR497B27,allow,1300
103,678768,4NNAFY161,allow,1300
104,678768,R9T8WPXK3,allow,1300
105,678768,YXC5ZGEM4,allow,1300
106,678768,DBF5XVHCP,allow,1300
107,678768,2TT9CZD01,allow,1300
108,678768,589CPRYF6,allow,1300
109,678768,MRMZ3HPVK,allow,1300
110,678768,F5VC1C0FP,allow,1300
111,678768,F74FC4RPF,allow,1300
112,678768,Y4KRXDS1T,allow,1300
113,678768,B98P1MVR3,allow,1300
114,678768,VAF6V9G31,allow,1300
115,678768,3DKKNPGBN,allow,1300
116,678768,5S8FMVABZ,allow,1300
117,678768,4N13K21CZ,allow,1300
118,678768,G1S5XEY3S,allow,1300
119,678768,BRK15XNZH,allow,1300
120,678768,YFMK2ZG97,allow,1300
121,678768,5V1THDXVD,allow,1300
122,678768,80SK9NCC2,allow,1300
123,678768,78T8NCY59,allow,1300
124,678768,YMHHG458Y,allow,1300
125,678768,3EYKT1C0T,allow,1300
126,678768,4WME220M0,allow,1300
127,678768,9NF57V9M6,allow,1300
128,678768,7Y433EZCK,allow,1300
129,678768,NABN36DY1,allow,1300
130,678768,50Y4S02DD,allow,1300
131,678768,Y9XZ659VA,allow,1300
132,678768,DE60B01MW,allow,1300
133,678768,H3WTW19DW,allow,1300
134,678768,CAYV2FTA4,allow,1300
135,678768,WCE6ZHF4Z,allow,1300
136,678768,EN8HB508V,allow,1300
137,678768,1XV0B5K2H,allow,1300
138,678768,4HD132E74,allow,1300
139,678768,Y787EKEEM,allow,1300
140,678768,WBRE8FYH0,allow,1300
141,678768,NTGSPGYYB,allow,1300
142,678768,BK96A84XK,allow,1300
143,678768,KPCXN06NN,allow,1300
144,678768,VX0T58X5R,allow,1300
145,678768,9E971SABH,allow,1300
146,678768,Z5VVKNW0T,allow,1300
147,678768,6D0MK1XX7,allow,1300
148,678768,152VTMV33,allow,1300
149,678768,TB6RRZ169,allow,1300
150,678768,4ZDKY9G89,allow,1300
151,678768,HYXRZK3K4,allow,1300
152,678768,94C24FBZ1,allow,1300
153,678768,GT9D0S5N9,allow,1300
154,678768,2ABSG63E6,allow,1300
155,678768,S0EC5A221,allow,1300
156,678768,ZNA91S9D2,allow,1300
157,678768,S948KZ7PV,allow,1300
158,678768,ZGCRR84V1,allow,1300
159,678768,5N8046G0D,allow,1300
160,678768,6KYVARAX9,allow,1300
161,678768,ZG5MATG26,allow,1300
162,678768,4W3HXVNN2,allow,1300
163,678768,TXZSCV25W,allow,1300
164,678768,7RTTHG612,allow,1300
165,678768,DSXG7DZNB,allow,1300
166,678768,725NRTB5Y,allow,1300
167,678768,ZX3F209KM,allow,1300
168,678768,B6R3Z2FAV,allow,1300
169,678768,TPYPC66B0,allow,1300
170,678768,PGBYX6NGT,allow,1300
171,678768,2TK42TCY3,allow,1300
172,678768,HN03S953Y,allow,1300
173,678768,52XTKV84F,allow,1300
174,678768,KP7CKC698,allow,1300
175,678768,54RBZAG07,allow,1300
176,678768,G7K6A43C6,allow,1300
177,678768,HMW8G2P92,allow,1300
178,678768,GF78PDDZ3,allow,1300
179,678768,FM6M2YDR3,allow,1300
180,678768,EX32H1ZCS,allow,1300
181,678768,7BW3C7037,allow,1300
182,678768,DAXSMEN3Y,allow,1300
183,678768,PW31ECCPE,allow,1300
184,678768,MBRHABV5S,allow,1300
185,678768,CYRDBHS6K,allow,1300
186,678768,TAC3RVYZW,allow,1300
187,678768,SVN1VHC16,allow,1300
188,678768,9TGN39PPH,allow,1300
189,678768,DVVENKP1C,allow,1300
190,678768,BYEYK40EG,allow,1300
191,678768,D4Z0S8GHT,allow,1300
192,678768,7940CEW5K,allow,1300
193,678768,K27XWXEAV,allow,1300
194,678768,74ZWH92CR,allow,1300
195,678768,CZ25ABMSG,allow,1300
196,678768,WV08FSH90,allow,1300
197,678768,115KFFV5B,allow,1300
198,678768,PTGYFGVZX,allow,1300
199,678768,EV8Z4C2A5,allow,1300
200,678768,RNDSA0YSM,allow,1300
201,678768,XS5EZS2Y7,allow,1300
202,678768,4BVG4ARWX,allow,1300
203,678768,NEE1EG3FG,allow,1300
204,678768,SMYD560SD,allow,1300
205,678768,1N5ZMN2ER,allow,1300
206,678768,Z3WT3K8R1,allow,1300
207,678768,G47ZMS37M,allow,1300
208,678768,K6SN1THBM,allow,1300
209,678768,MAATG8YDC,allow,1300
210,678768,R2B45N7EP,allow,1300
211,678768,140W0M8R9,allow,1300
212,678768,RZM1SKZNW,allow,1300
213,678768,EZDC9A3AV,allow,1300
