SN,Gtin,Serial no,Status
1301,678768,E7AY0BA0S,notallow
1302,678768,DC322N0DD,notallow
1303,678768,AKD0462F5,notallow
1304,678768,59F9ZAVBF,notallow
1305,678768,FFNM2E6ZK,notallow
1306,678768,S6RAPBH2K,notallow
1307,678768,3FTW4ZXHX,notallow
1308,678768,8KBP10XBE,notallow
1309,678768,K4XCT55M1,notallow
1310,678768,B416DFPTZ,notallow
1311,678768,5PBBAFD40,notallow
1312,678768,6RCE376VK,notallow
1313,678768,M724EVB45,notallow
1314,678768,1E01G4RM2,notallow
1315,678768,RXXDZG0CE,notallow
1316,678768,3P807SCPT,notallow
1317,678768,BR0RWXWKP,notallow
1318,678768,9AFG3F5ND,notallow
1319,678768,W4XK2Y56X,notallow
1320,678768,GSEGYRBHM,notallow
1321,678768,B7Z3GF22K,notallow
1322,678768,Y0KSBBHNW,notallow
1323,678768,9Y4WGHG6P,notallow
1324,678768,7ZF8WF6NK,notallow
1325,678768,RFWPTX0MD,notallow
1326,678768,F3F0GA7MT,notallow
1327,678768,YW7TTBWK6,notallow
1328,678768,2477A5WAN,notallow
1329,678768,DBG4CKWBP,notallow
1330,678768,BZ1986K46,notallow
1331,678768,40N470HXK,notallow
1332,678768,A77D3TGR1,notallow
1333,678768,YPZ162GHY,notallow
1334,678768,X1AY011TD,notallow
1335,678768,89RBECC0K,notallow
1336,678768,713660X8F,notallow
1337,678768,X86GW72WT,notallow
1338,678768,KMN86WVCE,notallow
1339,678768,T790D9T1K,notallow
1340,678768,NCTWXTGRV,notallow
1341,678768,2RXPFM155,notallow
1342,678768,TDGWH699S,notallow
1343,678768,604XHA2VK,notallow
1344,678768,MRZNAR8NB,notallow
1345,678768,T87R00FVD,notallow
1346,678768,VME7D1SRV,notallow
1347,678768,TRC97SPG0,notallow
1348,678768,EY8TZX447,notallow
1349,678768,CR760FPPW,notallow
1350,678768,E2GBW6KSK,notallow
1351,678768,HXP59RY9H,notallow
1352,678768,MS82AWV21,notallow
1353,678768,DW5AEBYV4,notallow
1354,678768,4ATW0A1S2,notallow
1355,678768,6N8T4GKAY,notallow
1356,678768,M28WZZ12B,notallow
1357,678768,7D48CSBF3,notallow
1358,678768,VPMS2ZH5F,notallow
1359,678768,MX4VDRYWM,notallow
1360,678768,W438GW126,notallow
1361,678768,E0HH16F3B,notallow
1362,678768,HVRK5N6KM,notallow
1363,678768,KWA29HEZZ,notallow
1364,678768,H1ASP8N2B,notallow
1365,678768,ESRKR57YC,notallow
1366,678768,AWG6GP40Y,notallow
1367,678768,3R0Z968H4,notallow
1368,678768,G7MVVN644,notallow
1369,678768,YH2YX5T64,notallow
1370,678768,WE4S0ED3M,notallow
1371,678768,P9Y2952M7,notallow
1372,678768,YGZGVBS8C,notallow
1373,678768,NV1ZBRXZP,notallow
1374,678768,4B96G3HNA,notallow
1375,678768,E060B0NHS,notallow
1376,678768,APHXFYES4,notallow
1377,678768,R7MEP57GH,notallow
1378,678768,89M4E9AR2,notallow
1379,678768,9X21EBTC5,notallow
1380,678768,GB070A7R4,notallow
1381,678768,K8AHFA53K,notallow
1382,678768,995FSRWXF,notallow
1383,678768,P5271KAS1,notallow
1384,678768,4GN696DXR,notallow
1385,678768,HGXY48HF6,notallow
1386,678768,KR9HEP069,notallow
1387,678768,Y2Z2YB97B,notallow
1388,678768,CMVGCN6MP,notallow
1389,678768,9140448ZS,notallow
1390,678768,ZAW3Y4T8H,notallow
1391,678768,7SRVC9093,notallow
1392,678768,92GDCCG69,notallow
1393,678768,MN84WXPF0,notallow
1394,678768,3BWDA50SW,notallow
1395,678768,9B3F7203P,notallow
1396,678768,K73AXW02N,notallow
1397,678768,Z2HYGYXAA,notallow
1398,678768,74AKTRW83,notallow
1399,678768,HDC1FV5Y1,notallow
1400,678768,7TAYV826T,notallow
1401,678768,NHW3M8KGR,notallow
1402,678768,SR5T23VBD,notallow
1403,678768,7YGDX5F45,notallow
1404,678768,S4RC7NR9D,notallow
1405,678768,B4X3FY9Z3,notallow
1406,678768,MMD352T8F,notallow
1407,678768,V8D1C5VH0,notallow
1408,678768,BV72D50VZ,notallow
1409,678768,VVDP0MCPK,notallow
1410,678768,Z1EEEAPWZ,notallow
1411,678768,ZND1R4S9T,notallow
1412,678768,AF2VZ6FDW,notallow
1413,678768,WV7779CA2,notallow
1414,678768,ECSKFEP9C,notallow
1415,678768,EEEWF0NPP,notallow
1416,678768,D58NCS4X7,notallow
1417,678768,6MRR973WS,notallow
1418,678768,A7YY0KZYH,notallow
1419,678768,M6R4T1591,notallow
1420,678768,4XFSPD89S,notallow
1421,678768,CT98EGPX4,notallow
1422,678768,2PK6GW9WR,notallow
1423,678768,BRF7F4MH2,notallow
1424,678768,95M8PCV3M,notallow
1425,678768,VNXM3HG30,notallow
1426,678768,VAX1K215B,notallow
1427,678768,MYA1EN3C4,notallow
1428,678768,K1WH43MSG,notallow
1429,678768,TP826DM6E,notallow
1430,678768,GCDP9B6B1,notallow
1431,678768,4N2N1306M,notallow
1432,678768,XX8539HWV,notallow
1433,678768,2CAHS9KFA,notallow
1434,678768,A4DSFN2N1,notallow
1435,678768,R1ZSD4DHV,notallow
1436,678768,C7GBPN09H,notallow
1437,678768,HPA061Y56,notallow
1438,678768,MDTGM24PC,notallow
1439,678768,K71WN13Y4,notallow
1440,678768,DT2C8V1WN,notallow
1441,678768,CB8Z9SSWB,notallow
1442,678768,52B0PK8XC,notallow
1443,678768,G1AY0XVTY,notallow
1444,678768,DBSPKTKFK,notallow
1445,678768,K82941VP6,notallow
1446,678768,Z65CN71ZX,notallow
1447,678768,EEXZAM441,notallow
1448,678768,R9WB2K56N,notallow
1449,678768,BZ30WETTT,notallow
1450,678768,7M8P685M3,notallow
1451,678768,AMYT7SK1X,notallow
1452,678768,7XA65P858,notallow
1453,678768,YYM9CT7FZ,notallow
1454,678768,FDZ14SC24,notallow
1455,678768,5RHGK82WZ,notallow
1456,678768,R6WSWFGZR,notallow
1457,678768,NG5Y8X57E,notallow
1458,678768,ZGMGM8YGE,notallow
1459,678768,FHF2YR9G6,notallow
1460,678768,FVCYKMF11,notallow
1461,678768,1A027Z41V,notallow
1462,678768,W9EH2TEHH,notallow
1463,678768,74FAEB7YM,notallow
1464,678768,9RZ1ZDZAE,notallow
1465,678768,BSEC8ER1D,notallow
1466,678768,91NZRX967,notallow
1467,678768,378X60G1T,notallow
1468,678768,ZNN593W4X,notallow
1469,678768,9V1S1E8A9,notallow
1470,678768,DZCY7NY3E,notallow
1471,678768,BAT04TVHH,notallow
1472,678768,GKN0HR8C2,notallow
1473,678768,9BPFV6XGW,notallow
1474,678768,NFHXWZ0RT,notallow
1475,678768,7A5N07NVH,notallow
1476,678768,STAW7RF2T,notallow
1477,678768,7316ZT1GD,notallow
1478,678768,34HMTKZNT,notallow
1479,678768,Y2GPNKWHP,notallow
